nohup: ignoring input
CompileCommand: exclude com/intellij/openapi/vfs/impl/FilePartNodeRoot.trieDescend bool exclude = true
2023-08-31 10:00:10,306 [   1524]   WARN - #c.i.o.v.i.l.NativeFileWatcherImpl - inotify_init: Too many open files
2023-08-31 10:00:10,309 [   1527]   WARN - #c.i.o.v.i.l.NativeFileWatcherImpl - The <b>inotify</b>(7) instances limit reached. <a href="https://intellij.com/inotify-instances">More details.</a>
2023-08-31 10:00:10,310 [   1528]   WARN - #c.i.o.v.i.l.FileWatcher - The <b>inotify</b>(7) instances limit reached. <a href="https://intellij.com/inotify-instances">More details.</a>
2023-08-31 10:00:10,319 [   1537]   WARN - #c.i.o.v.i.l.FileWatcher - File watcher gave up to operate
2023-08-31 10:00:10,724 [   1942]   WARN - #c.i.c.ComponentStoreImpl - Duplicated scheme Light - old: Light, new Light
2023-08-31 10:00:10,824 [   2042]   WARN - #c.i.e.t.TargetBasedSdks - SDK target configuration data is absent
2023-08-31 10:00:10,969 [   2187]   WARN - #c.i.e.t.TargetBasedSdks - SDK target configuration data is absent

Info  | RdCoroutineScope          | 19:DefaultDispatcher-worker-8 | RdCoroutineHost overridden 
2023-08-31 10:00:13,796 [   5014]   WARN - #c.i.i.s.p.i.BundledSharedIndexPostStartupActivity - Skipped 1 pre-built shared indexes: bundled-js-predefined-1d06a55b98c1-d5aed4438951-JavaScript-PY-232.8660.197
2023-08-31 10:00:14,596 [   5814]   WARN - #c.i.o.a.i.ActionUpdater - 348 ms to grab EDT for FontEditorPreview$RestorePreviewTextAction#update@ContextToolbar (com.intellij.application.options.colors.FontEditorPreview$RestorePreviewTextAction)
2023-08-31 10:00:15,457 [   6675]   WARN - #c.i.u.x.Binding - no accessors for com.intellij.openapi.projectRoots.Sdk
2023-08-31 10:01:10,852 [  62070]   WARN - #c.i.u.x.Binding - no accessors for java.time.LocalTime

2023-08-31 10:01:11,075 [  62293]   WARN - #c.i.o.w.i.c.h.t.MainMenuButton - rootPane is not set, MainMenu button listeners are not installed
2023-08-31 10:01:11,283 [  62501]   WARN - #c.i.i.s.p.i.BundledSharedIndexPostStartupActivity - Skipped 1 pre-built shared indexes: bundled-js-predefined-1d06a55b98c1-d5aed4438951-JavaScript-PY-232.8660.197
2023-08-31 10:01:17,082 [  68300]   WARN - #c.j.p.s.s.PySkeletonRefresher - Some skeletons failed to generate
2023-08-31 10:01:17,083 [  68301]   WARN - #c.j.p.s.s.PySkeletonRefresher - scipy.optimize._lsap_
2023-08-31 10:01:47,883 [  99101]   WARN - #c.j.p.s.s.PySkeletonRefresher - Some skeletons failed to generate
2023-08-31 10:01:47,884 [  99102]   WARN - #c.j.p.s.s.PySkeletonRefresher - PyQt5.Qt5.plugins.assetimporters.libassimp
2023-08-31 10:01:47,884 [  99102]   WARN - #c.j.p.s.s.PySkeletonRefresher - PyQt5.Qt5.plugins.assetimporters.libuip
2023-08-31 10:01:47,884 [  99102]   WARN - #c.j.p.s.s.PySkeletonRefresher - PyQt5.Qt5.plugins.audio.libqtaudio_alsa
2023-08-31 10:01:47,884 [  99102]   WARN - #c.j.p.s.s.PySkeletonRefresher - PyQt5.Qt5.plugins.audio.libqtmedia_pulse
2023-08-31 10:01:47,884 [  99102]   WARN - #c.j.p.s.s.PySkeletonRefresher - PyQt5.Qt5.plugins.bearer.libqconnmanbearer
2023-08-31 10:01:47,884 [  99102]   WARN - #c.j.p.s.s.PySkeletonRefresher - PyQt5.Qt5.plugins.bearer.libqgenericbearer
2023-08-31 10:01:47,884 [  99102]   WARN - #c.j.p.s.s.PySkeletonRefresher - PyQt5.Qt5.plugins.bearer.libqnmbearer
2023-08-31 10:01:47,884 [  99102]   WARN - #c.j.p.s.s.PySkeletonRefresher - PyQt5.Qt5.plugins.gamepads.libevdevgamepad
2023-08-31 10:01:47,884 [  99102]   WARN - #c.j.p.s.s.PySkeletonRefresher - PyQt5.Qt5.plugins.generic.libqevdevkeyboardplugin
2023-08-31 10:01:47,884 [  99102]   WARN - #c.j.p.s.s.PySkeletonRefresher - PyQt5.Qt5.plugins.generic.libqevdevmouseplugin
2023-08-31 10:01:47,884 [  99102]   WARN - #c.j.p.s.s.PySkeletonRefresher - PyQt5.Qt5.plugins.generic.libqevdevtabletplugin
2023-08-31 10:01:47,884 [  99102]   WARN - #c.j.p.s.s.PySkeletonRefresher - PyQt5.Qt5.plugins.generic.libqevdevtouchplugin
2023-08-31 10:01:47,884 [  99102]   WARN - #c.j.p.s.s.PySkeletonRefresher - PyQt5.Qt5.plugins.generic.libqtuiotouchplugin
2023-08-31 10:01:47,884 [  99102]   WARN - #c.j.p.s.s.PySkeletonRefresher - PyQt5.Qt5.plugins.geometryloaders.libdefaultgeometryloader
